,ds,yhat
0,2023-03-13,35.587616452189785
1,2023-03-14,19.51064325831487
2,2023-03-15,39.21096506524643
3,2023-03-16,39.57891836882506
4,2023-03-17,45.01903917410311
5,2023-03-18,26.076086493329544
6,2023-03-19,18.83043183226166
7,2023-03-20,37.26482911760462
8,2023-03-21,21.311142599091596
9,2023-03-22,20.42510054097562
10,2023-03-23,67.55898634216757
11,2023-03-24,38.45988828538667
12,2023-03-25,23.487608340342803
13,2023-03-26,8.853652882329893
14,2023-03-27,53.27327926948546
15,2023-03-28,33.41866684495355
16,2023-03-29,28.18884082169915
17,2023-03-30,41.52959875799474
18,2023-03-31,54.79528198594293
19,2023-04-01,25.37707975434452
20,2023-04-02,10.44580889428503
21,2023-04-03,33.509024187681526
22,2023-04-04,31.688955275204833
23,2023-04-05,28.705878117007714
24,2023-04-06,41.6538522611365
25,2023-04-07,48.21713091736382
26,2023-04-08,24.71708642801775
27,2023-04-09,9.41256106956505
28,2023-04-10,70.4945572982409
29,2023-04-11,27.36265062250184
30,2023-04-12,26.731428069875502
31,2023-04-13,39.45017208366843
32,2023-04-14,45.836649334878
33,2023-04-15,22.216619602167118
34,2023-04-16,6.851996364643767
35,2023-04-17,40.07948060554785
36,2023-04-18,40.634337821428616
37,2023-04-19,24.359402073749074
38,2023-04-20,53.02740611722059
39,2023-04-21,47.3873800737719
40,2023-04-22,28.272942925063496
41,2023-04-23,20.87552684608095
42,2023-04-24,39.181084294081515
43,2023-04-25,23.124140157393178
44,2023-04-26,42.84676629458615
45,2023-04-27,43.23837151583183
46,2023-04-28,48.70245322030032
47,2023-04-29,29.7826630450475
48,2023-04-30,22.55823907494382
49,2023-05-01,41.01081769922982
50,2023-05-02,25.071201335995248
51,2023-05-03,44.87842448686753
52,2023-05-04,45.31961876856943
53,2023-05-05,50.796821221763125
54,2023-05-06,31.85307679525231
55,2023-05-07,24.56788659912552
56,2023-05-08,42.92401457284702
57,2023-05-09,26.854228891723565
58,2023-05-10,46.50032120425363
59,2023-05-11,46.75290549850022
60,2023-05-12,52.01814253741946
61,2023-05-13,32.84374284831435
62,2023-05-14,25.31430234136608
63,2023-05-15,43.417986016483425
64,2023-05-16,27.093139153665405
65,2023-05-17,46.487172331700975
66,2023-05-18,46.4962254231758
67,2023-05-19,51.53175986642947
68,2023-05-20,32.14643548660386
69,2023-05-21,24.42932906821057
70,2023-05-22,42.37251302954295
71,2023-05-23,25.917576170766324
72,2023-05-24,45.21443504284859
73,2023-05-25,45.16094285397743
74,2023-05-26,50.169446506825615
75,2023-05-27,30.792648822574215
76,2023-05-28,23.1188334133491
77,2023-05-29,24.12387018913072
78,2023-05-30,24.790783298444225
79,2023-05-31,44.222626889056606
80,2023-06-01,44.328176951783945
81,2023-06-02,49.51558455505735
82,2023-06-03,30.33294685429584
83,2023-06-04,22.86364988244766
84,2023-06-05,41.09309823872494
85,2023-06-06,24.95540966132689
86,2023-06-07,44.5924184903087
87,2023-06-08,44.89348995671695
88,2023-06-09,50.26229060397559
89,2023-06-10,31.242866440049593
90,2023-06-11,23.915080792192917
91,2023-06-12,42.2614245634463
92,2023-06-13,26.213774939647852
93,2023-06-14,45.912445047951145
94,2023-06-15,46.246025472102176
95,2023-06-16,51.61816239371058
96,2023-06-17,32.57362392822051
97,2023-06-18,25.19370710149729
98,2023-06-19,43.46299912732897
99,2023-06-20,27.31607045889011
100,2023-06-21,46.896443957442116
101,2023-06-22,47.09634329799077
102,2023-06-23,52.32336790698929
103,2023-06-24,33.12644876905267
104,2023-06-25,25.591140489691476
105,2023-06-26,43.706266307714245
106,2023-06-27,27.410496580636366
107,2023-06-28,46.85120807144442
108,2023-06-29,46.92413000354845
109,2023-06-30,52.03992681204367
110,2023-07-01,32.750074282984464
111,2023-07-02,25.142086485894676
112,2023-07-03,43.206111822643116
113,2023-07-04,17.253482180797214
114,2023-07-05,46.31554744041261
115,2023-07-06,46.403349060318796
116,2023-07-07,51.554203336095064
117,2023-07-08,32.31762949245872
118,2023-07-09,24.77863141641408
119,2023-07-10,42.924365653012245
120,2023-07-11,26.690773217715268
121,2023-07-12,46.22152107291018
122,2023-07-13,46.40775700963959
123,2023-07-14,51.65482496362072
124,2023-07-15,32.508293954056995
125,2023-07-16,25.049354040866536
126,2023-07-17,43.26159320779893
127,2023-07-18,27.077732190506556
128,2023-07-19,46.63866044833965
129,2023-07-20,46.833274596765705
130,2023-07-21,52.06526417864482
131,2023-07-22,32.87919614647964
132,2023-07-23,25.355950001939036
133,2023-07-24,43.47951646338912
134,2023-07-25,27.18373606840707
135,2023-07-26,46.61132074389593
136,2023-07-27,46.65365993667442
137,2023-07-28,51.71755689467753
138,2023-07-29,32.35124759726992
139,2023-07-30,24.639755794852967
140,2023-07-31,42.571598887849255
141,2023-08-01,26.085423215206873
142,2023-08-02,45.328914193825895
143,2023-08-03,45.19848550190842
144,2023-08-04,50.105895623757796
145,2023-08-05,30.604147043448215
146,2023-08-06,22.782724336684623
147,2023-08-07,40.63418860892117
148,2023-08-08,24.100709442479655
149,2023-08-09,43.33288219579971
150,2023-08-10,43.22933701003534
151,2023-08-11,48.203289711980545
152,2023-08-12,28.808391446882062
153,2023-08-13,21.133934470118884
154,2023-08-14,39.17143234776843
155,2023-08-15,22.861156125527323
156,2023-08-16,42.350974306107084
157,2023-08-17,42.53600258258405
158,2023-08-18,47.82521272350221
159,2023-08-19,28.76735627948819
160,2023-08-20,21.44625903998419
161,2023-08-21,39.847502681792164
162,2023-08-22,23.905073101580538
163,2023-08-23,43.760320984716074
