,,,,,,,,,,,,,,,,,,,,,,
,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
,43,Sunday May 29,boxscore,CLE,@,DET,L,1,2,,19-24,3,7.5,Lange,McKenzie,Soto,2:37,D,19990,0.77,-,
,44,Monday May 30,boxscore,CLE,,KCR,W,7,3,,20-24,3,6.5,Sandlin,Snider,,2:49,N,15271,0.71,+,
,45,Tuesday May 31,boxscore,CLE,,KCR,W,8,3,,21-24,3,6.0,Quantrill,Lynch,,2:50,N,10519,0.73,++,
,46,Wednesday Jun 1,boxscore,CLE,,KCR,W,4,0,,22-24,2,5.0,Pilkington,Keller,,2:48,D,12895,0.78,+++,
,47,Friday Jun 3,boxscore,CLE,@,BAL,W,6,3,,23-24,2,4.5,Bieber,Zimmermann,Clase,2:52,N,15456,0.85,++++,
,48,Saturday Jun 4,boxscore,CLE,@,BAL,L,4,5,,23-25,2,4.5,Bautista,McKenzie,López,2:33,D,17183,0.89,-,
,49,Sunday Jun 5,boxscore,CLE,@,BAL,W,3,2,,24-25,2,4.5,Plesac,Kremer,Clase,2:58,D,14815,0.89,+,
,50,Tuesday Jun 7 (1),boxscore,CLE,,TEX,W,6,3,,25-25,2,4.0,Quantrill,Gray,Clase,2:40,D,,0.92,++,
,51,Tuesday Jun 7 (2),boxscore,CLE,,TEX,L,3,6,,25-26,2,4.0,Hearn,McCarty,Barlow,3:10,D,10763,0.99,-,
,52,Wednesday Jun 8,boxscore,CLE,,TEX,W,4,0,,26-26,2,4.0,Morgan,Dunning,,2:07,N,10965,0.93,+,
,53,Thursday Jun 9,boxscore,CLE,,OAK,W,8,4,,27-26,2,3.0,De Los Santos,Trivino,,3:23,N,12995,0.90,++,
,54,Friday Jun 10,boxscore,CLE,,OAK,W-wo,3,2,,28-26,2,3.0,Gose,Jiménez,,2:50,N,21311,0.94,+++,
,55,Saturday Jun 11,boxscore,CLE,,OAK,L,5,10,,28-27,2,4.0,Montas,Morgan,,3:08,D,22674,1.03,-,
,56,Sunday Jun 12,boxscore,CLE,,OAK,W,6,3,,29-27,2,3.0,Quantrill,Irvin,Clase,2:31,D,17776,0.97,+,
,57,Tuesday Jun 14,boxscore,CLE,@,COL,W,4,3,10,30-27,2,2.5,Shaw,Stephenson,Clase,3:02,N,28377,1.05,++,
,58,Wednesday Jun 15,boxscore,CLE,@,COL,W,7,5,,31-27,2,2.5,Shaw,Gomber,Clase,3:02,N,23838,1.05,+++,
,59,Thursday Jun 16,boxscore,CLE,@,COL,W,4,2,,32-27,2,2.0,McKenzie,Kuhl,Clase,2:50,D,26629,1.06,++++,
,60,Friday Jun 17,boxscore,CLE,@,LAD,W,2,1,10,33-27,2,1.0,Gose,Phillips,De Los Santos,3:20,N,48361,1.10,+++++,
,61,Saturday Jun 18,boxscore,CLE,@,LAD,L,1,7,,33-28,2,2.0,Urías,Quantrill,,2:57,D,50078,1.12,-,
,62,Sunday Jun 19,boxscore,CLE,@,LAD,W,5,3,,34-28,2,1.0,Morgan,Kimbrel,Clase,3:08,D,53033,1.16,+,
,63,Tuesday Jun 21,boxscore,CLE,@,MIN,W,6,5,11,35-28,1,Tied,Stephan,Jax,Clase,3:46,N,22341,1.35,++,
,64,Wednesday Jun 22,boxscore,CLE,@,MIN,W,11,10,,36-28,1,up 1.0,Hentges,Jax,Clase,3:35,N,25604,1.34,+++,
,65,Thursday Jun 23,boxscore,CLE,@,MIN,L,0,1,,36-29,1,Tied,Smeltzer,Plesac,Thielbar,2:54,D,24929,1.36,-,
,66,Friday Jun 24,boxscore,CLE,,BOS,L,3,6,,36-30,1,Tied,Pivetta,Shaw,,3:19,N,29106,1.24,--,
,67,Saturday Jun 25,boxscore,CLE,,BOS,L,2,4,,36-31,2,1.0,Winckowski,Bieber,Houck,2:55,N,27239,1.16,---,
,68,Sunday Jun 26,boxscore,CLE,,BOS,L,3,8,,36-32,2,2.0,Hill,Civale,,3:22,D,20663,1.11,----,
,69,Monday Jun 27,boxscore,CLE,,MIN,L,1,11,,36-33,2,3.0,Gray,McKenzie,,2:55,N,12554,1.31,-----,
,70,Tuesday Jun 28 (1),boxscore,CLE,,MIN,W,3,2,,37-33,2,3.0,Hentges,Pagán,Clase,2:59,D,12442,1.28,+,
,71,Tuesday Jun 28 (2),boxscore,CLE,,MIN,L,0,6,,37-34,2,3.0,Winder,Pilkington,,3:00,N,12145,1.26,-,
,72,Wednesday Jun 29,boxscore,CLE,,MIN,W-wo,7,6,10,38-34,2,2.0,Morgan,Cotton,,3:19,N,12840,1.28,+,
,73,Thursday Jun 30,boxscore,CLE,,MIN,W-wo,5,3,,39-34,2,1.0,Clase,Thornburg,,3:19,D,17066,1.32,++,
,74,Saturday Jul 2 (1),boxscore,CLE,,NYY,L,4,13,,39-35,2,3.0,Cole,McCarty,,3:28,D,21203,1.08,-,
,75,Saturday Jul 2 (2),boxscore,CLE,,NYY,L,1,6,,39-36,2,3.0,Cortes,Civale,Holmes,3:09,N,29236,1.03,--,
,76,Sunday Jul 3,boxscore,CLE,,NYY,W,2,0,,40-36,2,2.0,McKenzie,Montgomery,Clase,2:55,D,26113,0.97,+,
,77,Monday Jul 4 (1),boxscore,CLE,@,DET,L,1,4,,40-37,2,3.5,Hill,Plesac,Soto,2:55,D,19737,0.97,-,
,78,Monday Jul 4 (2),boxscore,CLE,@,DET,L,3,5,,40-38,2,3.5,Alexander,Stephan,Jiménez,2:55,N,24395,0.96,--,
,79,Tuesday Jul 5,boxscore,CLE,@,DET,L,4,11,,40-39,2,4.5,Hutchison,Quantrill,,3:03,N,16662,0.90,---,
