,ds,yhat
0,2023-03-13,51.559167477121775
1,2023-03-14,47.10033860312512
2,2023-03-15,62.103324110044746
3,2023-03-16,58.25955883799499
4,2023-03-17,63.37839382976736
5,2023-03-18,113.3001495052244
6,2023-03-19,18.775112121388958
7,2023-03-20,49.880198390020475
8,2023-03-21,45.35384494123911
9,2023-03-22,49.53368271061935
10,2023-03-23,59.07268270713301
11,2023-03-24,54.614596169862516
12,2023-03-25,99.68592693607118
13,2023-03-26,7.656175791454487
14,2023-03-27,51.14399895663006
15,2023-03-28,37.19229485889617
16,2023-03-29,57.445198779873756
17,2023-03-30,40.069348324040675
18,2023-03-31,46.079753963298295
19,2023-04-01,124.29865412637449
20,2023-04-02,16.220715527668354
21,2023-04-03,30.55300980534783
22,2023-04-04,76.90526258885302
23,2023-04-05,63.643969499157315
24,2023-04-06,42.04653890908696
25,2023-04-07,65.61263819901382
26,2023-04-08,109.88302039228846
27,2023-04-09,18.3266701396116
28,2023-04-10,32.14607060336528
29,2023-04-11,67.61997117496007
30,2023-04-12,68.02010764985232
31,2023-04-13,110.02374529689439
32,2023-04-14,65.31072532601999
33,2023-04-15,119.6974440836137
34,2023-04-16,14.071952358474448
35,2023-04-17,75.46639105121837
36,2023-04-18,68.00811882030216
37,2023-04-19,78.3811739942214
38,2023-04-20,60.56339481379909
39,2023-04-21,63.86784400025667
40,2023-04-22,112.73522257814497
41,2023-04-23,17.075863158470277
42,2023-04-24,46.975802977274476
43,2023-04-25,41.18485229937092
44,2023-04-26,54.906981865372245
45,2023-04-27,49.84876252319317
46,2023-04-28,53.83350708742728
47,2023-04-29,102.71411420381278
48,2023-04-30,7.251891223434036
49,2023-05-01,37.53308383253456
50,2023-05-02,32.30367093084421
51,2023-05-03,46.759799855957915
52,2023-05-04,42.596369504133
53,2023-05-05,47.62140822498036
54,2023-05-06,97.66924077309268
55,2023-05-07,3.4797136711210115
56,2023-05-08,35.115197081526745
57,2023-05-09,31.29591031417976
58,2023-05-10,47.190933245543945
59,2023-05-11,44.467397264813265
60,2023-05-12,50.905487913656984
61,2023-05-13,102.31223840776622
62,2023-05-14,9.401368273134786
63,2023-05-15,42.21087044391136
64,2023-05-16,39.4388799297933
65,2023-05-17,56.23517338838666
66,2023-05-18,54.250781682305565
67,2023-05-19,61.25333772954391
68,2023-05-20,113.04113090523539
69,2023-05-21,20.323116399587896
70,2023-05-22,53.136579298650936
71,2023-05-23,50.182985227632855
72,2023-05-24,66.61936796734813
73,2023-05-25,64.10773947850754
74,2023-05-26,70.43015020229795
75,2023-05-27,121.40237847752624
76,2023-05-28,27.753506900311116
77,2023-05-29,0.18521321067849073
78,2023-05-30,55.496502123029835
79,2023-05-31,70.79569491356823
80,2023-06-01,67.1280875452128
81,2023-06-02,72.30100793796731
82,2023-06-03,122.15481220653149
83,2023-06-04,27.44190908837917
84,2023-06-05,58.24341944891253
85,2023-06-06,53.3040268477359
86,2023-06-07,67.82239335419611
87,2023-06-08,63.49964885374347
88,2023-06-09,68.15360301018413
89,2023-06-10,117.63167798919619
90,2023-06-11,22.68983656521653
91,2023-06-12,53.40923030577964
92,2023-06-13,48.53112272905061
93,2023-06-14,63.24745847721398
94,2023-06-15,59.2495816869596
95,2023-06-16,64.34274587356379
96,2023-06-17,114.35940502462799
97,2023-06-18,20.038550756779145
98,2023-06-19,51.44280940441067
99,2023-06-20,47.29384230728392
100,2023-06-21,62.763408237019156
101,2023-06-22,59.52257886319747
102,2023-06-23,65.35673743097371
103,2023-06-24,116.07933863817487
104,2023-06-25,22.411683576705045
105,2023-06-26,54.400413598632554
106,2023-06-27,50.753257578023465
107,2023-06-28,66.63038411818401
108,2023-06-29,63.693843775183
109,2023-06-30,69.72272732436267
110,2023-07-01,120.52701564265094
111,2023-07-02,26.827374442908265
112,2023-07-03,58.67259882086198
113,2023-07-04,23.21615140859337
114,2023-07-05,70.30280431053984
115,2023-07-06,66.92691287500128
116,2023-07-07,72.4382257020424
117,2023-07-08,122.65994320555494
118,2023-07-09,28.327249659382396
119,2023-07-10,59.50437890000761
120,2023-07-11,54.9198542025623
121,2023-07-12,69.75726811002644
122,2023-07-13,65.70410275720971
123,2023-07-14,70.56623302630031
124,2023-07-15,120.18110482219245
125,2023-07-16,25.296858402362417
126,2023-07-17,55.98911798502009
127,2023-07-18,50.996000332766336
128,2023-07-19,65.5087124718262
129,2023-07-20,61.22024213901962
130,2023-07-21,65.93978496924673
131,2023-07-22,115.5059010220777
132,2023-07-23,20.66566954229007
133,2023-07-24,51.491560873558306
134,2023-07-25,46.716574738951934
135,2023-07-26,61.52501050318651
136,2023-07-27,57.60136757117209
137,2023-07-28,62.74501373862029
138,2023-07-29,112.78360734336752
139,2023-07-30,18.45253498123332
140,2023-07-31,49.81207638176119
141,2023-08-01,45.582838341065134
142,2023-08-02,60.93681618670446
143,2023-08-03,57.546574141486346
144,2023-08-04,63.20017612613117
145,2023-08-05,113.71484721167195
146,2023-08-06,19.816622612093667
147,2023-08-07,51.557691790855294
148,2023-08-08,47.65197646980338
149,2023-08-09,63.26629887317948
150,2023-08-10,60.06963039988966
151,2023-08-11,65.84805205501819
152,2023-08-12,116.4184075756341
153,2023-08-13,22.50790773204165
154,2023-08-14,54.17139577597103
155,2023-08-15,50.12681591967428
156,2023-08-16,65.54624487853658
157,2023-08-17,62.104980851862805
158,2023-08-18,67.59632582048808
159,2023-08-19,117.8450468698561
160,2023-08-20,23.586779918764343
161,2023-08-21,54.88509069455368
162,2023-08-22,50.4667396005256
163,2023-08-23,65.51251502132989
