,,,,,,,,,,,,,,,,,,,,,,
,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
,31,Friday May 7,boxscore,CLE,,CIN,L,0,3,,17-14,2,0.5,Miley,Clase,,2:34,N,7803,1.23,-,
,32,Saturday May 8,boxscore,CLE,,CIN,W,9,2,,18-14,2,0.5,Civale,Castillo,,3:08,N,9968,1.16,+,
,33,Tuesday May 11,boxscore,CLE,,CHC,W,3,2,,19-14,2,1.0,Bieber,Alzolay,Clase,2:56,N,8024,1.17,++,
,34,Wednesday May 12,boxscore,CLE,,CHC,W-wo,2,1,10,20-14,2,1.0,Karinchak,Thompson,,3:50,D,8589,1.24,+++,
,35,Thursday May 13,boxscore,CLE,@,SEA,W,4,2,,21-14,2,1.0,Plesac,Gilbert,Shaw,2:36,N,9880,1.25,++++,
,36,Friday May 14,boxscore,CLE,@,SEA,L,3,7,,21-15,2,1.5,Flexen,Civale,Montero,3:06,N,10014,1.21,-,
,37,Saturday May 15,boxscore,CLE,@,SEA,L,3,7,,21-16,2,1.5,Sheffield,McKenzie,,3:09,N,10311,1.27,--,
,38,Sunday May 16,boxscore,CLE,@,SEA,L,2,3,,21-17,2,2.5,Sewald,Bieber,Graveman,3:36,D,10287,1.34,---,
,39,Monday May 17,boxscore,CLE,@,LAA,L,4,7,,21-18,2,3.5,Watson,Hentges,Iglesias,3:23,N,9527,1.22,----,
,40,Tuesday May 18,boxscore,CLE,@,LAA,W,6,5,,22-18,2,2.5,Plesac,Claudio,Karinchak,2:48,N,9491,1.15,+,
,41,Wednesday May 19,boxscore,CLE,@,LAA,W,3,2,,23-18,2,2.5,Civale,Watson,Karinchak,3:05,N,10378,1.20,++,
,42,Friday May 21,boxscore,CLE,,MIN,L,0,10,,23-19,2,2.5,Dobnak,McKenzie,,3:10,N,11675,1.27,-,
,43,Saturday May 22,boxscore,CLE,,MIN,W-wo,5,3,10,24-19,2,1.5,Karinchak,Colomé,,3:34,D,11505,1.26,+,
,44,Sunday May 23,boxscore,CLE,,MIN,L,5,8,10,24-20,2,1.5,Robles,Karinchak,Duffey,3:44,D,9805,1.28,-,
,45,Monday May 24,boxscore,CLE,@,DET,W,6,5,,25-20,2,1.5,Mejía,Garcia,Clase,3:31,N,7832,1.32,+,
,46,Tuesday May 25,boxscore,CLE,@,DET,W,4,1,,26-20,2,1.5,Civale,Skubal,Karinchak,2:47,N,8000,1.33,++,
,47,Wednesday May 26,boxscore,CLE,@,DET,L,0,1,,26-21,2,1.5,Fulmer,Quantrill,Soto,2:39,N,7525,1.32,-,
,48,Thursday May 27,boxscore,CLE,@,DET,W,5,2,,27-21,2,1.5,Bieber,Boyd,,3:06,D,8000,1.37,+,
,49,Friday May 28,boxscore,CLE,,TOR,L,2,11,7,27-22,2,2.0,Ryu,Morgan,,2:55,N,9198,1.38,-,
,50,Sunday May 30 (1),boxscore,CLE,,TOR,L,1,4,7,27-23,2,3.5,Stripling,Civale,Romano,2:05,D,,1.26,--,
,51,Sunday May 30 (2),boxscore,CLE,,TOR,W-wo,6,5,7,28-23,2,3.5,Clase,Chatwood,,2:08,D,11690,1.24,+,
,52,Monday May 31 (1),boxscore,CLE,,CHW,L,6,8,8,28-24,2,3.5,Heuer,Karinchak,Bummer,2:45,D,,1.67,-,
,53,Monday May 31 (2),boxscore,CLE,,CHW,W,3,1,7,29-24,2,3.5,Maton,Lambert,Clase,2:21,N,10726,1.59,+,
,54,Tuesday Jun 1,boxscore,CLE,,CHW,W,6,5,,30-24,2,2.5,Bieber,Cease,Karinchak,3:00,N,7132,1.70,++,
,55,Friday Jun 4,boxscore,CLE,@,BAL,L,1,3,,30-25,2,4.0,Sulser,Shaw,Fry,2:50,N,12009,1.24,-,
,56,Saturday Jun 5,boxscore,CLE,@,BAL,W,10,4,,31-25,2,3.0,Civale,Means,,3:28,D,9969,1.16,+,
,57,Sunday Jun 6,boxscore,CLE,@,BAL,L,5,18,,31-26,2,4.0,López,Quantrill,,3:10,D,9423,1.27,-,
,58,Tuesday Jun 8,boxscore,CLE,@,STL,W,10,1,,32-26,2,4.0,Bieber,Martinez,,3:10,N,16178,1.24,+,
,59,Wednesday Jun 9,boxscore,CLE,@,STL,L,2,8,,32-27,2,4.0,Wainwright,Mejía,,2:59,N,16331,1.24,-,
,60,Friday Jun 11,boxscore,CLE,,SEA,W,7,0,,33-27,2,4.5,Civale,Dunn,,2:56,N,22970,1.22,+,
,61,Saturday Jun 12,boxscore,CLE,,SEA,W-wo,5,4,10,34-27,2,4.5,Karinchak,Sewald,,3:41,D,20116,1.25,++,
,62,Sunday Jun 13,boxscore,CLE,,SEA,L,2,6,,34-28,2,5.5,Gilbert,Bieber,,3:17,D,17371,1.32,-,
,63,Monday Jun 14,boxscore,CLE,,BAL,W,4,3,,35-28,2,4.5,Sandlin,Kremer,Clase,2:46,N,11181,1.19,+,
,64,Tuesday Jun 15,boxscore,CLE,,BAL,W,7,2,,36-28,2,4.5,Karinchak,Harvey,,3:21,N,12025,1.20,++,
,65,Wednesday Jun 16,boxscore,CLE,,BAL,W,8,7,,37-28,2,4.5,Civale,Akin,Clase,3:05,N,12825,1.29,+++,
,66,Thursday Jun 17,boxscore,CLE,,BAL,W,10,3,,38-28,2,3.5,Stephan,López,,3:03,D,15121,1.29,++++,
,67,Friday Jun 18,boxscore,CLE,@,PIT,L,10,11,,38-29,2,3.5,Kuhl,Mejía,Rodríguez,3:07,N,16965,1.33,-,
,68,Saturday Jun 19,boxscore,CLE,@,PIT,L,3,6,,38-30,2,3.5,Stratton,Shaw,,3:14,D,16830,1.37,--,
,69,Sunday Jun 20,boxscore,CLE,@,PIT,W,2,1,,39-30,2,2.5,Maton,Brubaker,Karinchak,2:31,D,16582,1.31,+,
,70,Monday Jun 21,boxscore,CLE,@,CHC,W,4,0,,40-30,2,2.0,Shaw,Alzolay,,3:12,N,32934,1.36,++,
,71,Tuesday Jun 22,boxscore,CLE,@,CHC,L,1,7,,40-31,2,2.0,Hendricks,Morgan,,2:51,N,35493,1.36,-,
,72,Thursday Jun 24,boxscore,CLE,@,MIN,W,4,1,,41-31,2,2.0,Parker,Alcala,Karinchak,2:58,N,18812,1.43,+,
,73,Friday Jun 25,boxscore,CLE,@,MIN,L,7,8,,41-32,2,2.0,Jax,Wittgren,Robles,2:46,N,16892,1.48,-,
,74,Sunday Jun 27,boxscore,CLE,@,MIN,L,2,8,,41-33,2,2.5,Happ,Hentges,,2:58,D,20215,1.46,--,
,75,Monday Jun 28,boxscore,CLE,,DET,W,13,5,,42-33,2,2.0,Morgan,Manning,,2:58,N,13128,1.44,+,
,76,Wednesday Jun 30 (1),boxscore,CLE,,DET,L,4,9,7,42-34,2,4.0,Funkhouser,Shaw,,2:55,D,,1.45,-,
,77,Wednesday Jun 30 (2),boxscore,CLE,,DET,L,1,7,7,42-35,2,4.0,Peralta,Allen,,2:27,N,11627,1.46,--,
,78,Thursday Jul 1,boxscore,CLE,,HOU,L,2,7,,42-36,2,5.0,Valdez,Mejía,,3:04,N,13772,1.41,---,
,79,Friday Jul 2,boxscore,CLE,,HOU,L,3,6,,42-37,2,6.0,McCullers,Hentges,Pressly,3:29,N,24337,1.37,----,
,80,Saturday Jul 3,boxscore,CLE,,HOU,L,2,3,,42-38,2,6.0,Odorizzi,Morgan,Pressly,3:24,N,24961,1.21,-----,
,81,Sunday Jul 4,boxscore,CLE,,HOU,L,3,4,10,42-39,2,6.0,Taylor,Clase,Raley,3:16,D,17412,1.16,------,
,82,Monday Jul 5,boxscore,CLE,@,TBR,L-wo,8,9,,42-40,2,6.0,Fairbanks,Clase,,3:39,N,8832,1.19,-------,
,83,Wednesday Jul 7 (1),boxscore,CLE,@,TBR,L,1,8,7,42-41,2,8.0,Wacha,Mejía,,2:13,D,,1.10,--------,
,84,Wednesday Jul 7 (2),boxscore,CLE,@,TBR,L,0,4,7,42-42,2,8.0,Fleming,Hentges,,2:04,D,10905,1.02,---------,
,85,Thursday Jul 8,boxscore,CLE,,KCR,W-wo,7,4,,43-42,2,7.5,Karinchak,Holland,,3:10,N,13272,0.84,+,
,86,Friday Jul 9,boxscore,CLE,,KCR,W-wo,2,1,,44-42,2,7.5,Karinchak,Brentz,,2:26,N,21395,0.94,++,
,87,Saturday Jul 10,boxscore,CLE,,KCR,W,14,6,,45-42,2,7.5,Quantrill,Minor,,3:20,N,24077,0.95,+++,
,88,Friday Jul 16,boxscore,CLE,@,OAK,L-wo,4,5,,45-43,2,8.0,Romo,Clase,,2:58,N,12361,1.02,-,
,89,Saturday Jul 17,boxscore,CLE,@,OAK,W,3,2,,46-43,2,8.0,Quantrill,Montas,Karinchak,3:11,D,11374,0.93,+,
,90,Sunday Jul 18,boxscore,CLE,@,OAK,W,4,2,,47-43,2,8.0,Plesac,Bassitt,Shaw,2:55,D,8572,0.97,++,
,91,Monday Jul 19,boxscore,CLE,@,HOU,L,3,4,,47-44,2,8.5,Greinke,Mejía,Pressly,3:25,N,21963,1.01,-,
,92,Tuesday Jul 20,boxscore,CLE,@,HOU,L,3,9,,47-45,2,9.5,Garcia,McKenzie,,3:13,N,26586,0.96,--,
,93,Wednesday Jul 21,boxscore,CLE,@,HOU,W,5,4,,48-45,2,8.5,Shaw,Pruitt,Karinchak,3:07,N,21712,0.82,+,
,94,Thursday Jul 22,boxscore,CLE,,TBR,L,4,5,10,48-46,2,9.0,Fairbanks,Shaw,Castillo,3:39,N,19338,0.92,-,
,95,Friday Jul 23,boxscore,CLE,,TBR,L,5,10,,48-47,2,9.0,Wisler,Wittgren,,3:05,N,23180,0.86,--,
,96,Saturday Jul 24,boxscore,CLE,,TBR,L,2,8,,48-48,2,9.0,Head,Mejía,,2:59,N,23324,0.75,---,
,97,Sunday Jul 25,boxscore,CLE,,TBR,W,3,2,,49-48,2,9.0,Karinchak,Wisler,Clase,2:46,D,18614,0.67,+,
,98,Tuesday Jul 27,boxscore,CLE,,STL,L,2,4,,49-49,2,9.5,Wainwright,Shaw,Reyes,2:51,N,19480,0.75,-,
,99,Wednesday Jul 28,boxscore,CLE,,STL,W,7,2,,50-49,2,8.5,Plesac,Kim,,3:08,D,19927,0.59,+,
,100,Friday Jul 30,boxscore,CLE,@,CHW,L,4,6,,50-50,2,9.0,Ruiz,Karinchak,Hendriks,3:42,N,36123,1.07,-,
,101,Saturday Jul 31,boxscore,CLE,@,CHW,W,12,11,,51-50,2,8.0,Garza,Kopech,Clase,3:37,N,35866,0.95,+,
,102,Sunday Aug 1,boxscore,CLE,@,CHW,L-wo,1,2,,51-51,2,9.0,Hendriks,Wittgren,,2:45,D,34344,1.20,-,
,103,Monday Aug 2,boxscore,CLE,@,TOR,W,5,2,10,52-51,2,8.5,Shaw,Hand,Clase,3:14,D,14653,0.63,+,
,104,Tuesday Aug 3,boxscore,CLE,@,TOR,L,2,7,,52-52,2,9.5,Ryu,Plesac,,2:46,N,14270,0.71,-,
,105,Wednesday Aug 4,boxscore,CLE,@,TOR,L,6,8,,52-53,2,9.5,Matz,Mejía,,3:16,N,14410,0.60,--,
,106,Thursday Aug 5,boxscore,CLE,@,TOR,L,0,3,,52-54,2,9.5,Stripling,McKenzie,Cimber,2:25,N,14289,0.52,---,
,107,Friday Aug 6,boxscore,CLE,,DET,W,6,1,,53-54,2,9.5,Quantrill,Manning,Clase,3:11,N,24485,0.47,+,
,108,Saturday Aug 7,boxscore,CLE,,DET,L,1,2,,53-55,2,10.5,Alexander,Morgan,Soto,2:39,N,24560,0.48,-,
,109,Sunday Aug 8,boxscore,CLE,,DET,W,7,5,,54-55,2,10.5,Shaw,Ramírez,Clase,3:02,D,19899,0.33,+,
,110,Monday Aug 9,boxscore,CLE,,CIN,W,9,3,,55-55,2,10.5,Garza,Castillo,,3:09,N,10708,0.33,++,
,111,Tuesday Aug 10,boxscore,CLE,,OAK,L,3,4,10,55-56,2,10.5,Trivino,Wittgren,Chafin,3:42,N,13041,0.39,-,
,112,Wednesday Aug 11,boxscore,CLE,,OAK,L,3,6,,55-57,2,10.5,Diekman,Sandlin,Trivino,3:14,N,13560,0.32,--,
,113,Thursday Aug 12,boxscore,CLE,,OAK,L,0,17,,55-58,2,11.5,Bassitt,Morgan,,3:27,D,16559,0.26,---,
,114,Friday Aug 13,boxscore,CLE,@,DET,W,7,4,,56-58,2,11.0,Plesac,Alexander,,2:57,N,22107,0.18,+,
,115,Saturday Aug 14,boxscore,CLE,@,DET,L,4,6,,56-59,2,11.0,Fulmer,Shaw,Soto,3:27,N,32845,0.23,-,
,116,Sunday Aug 15,boxscore,CLE,@,DET,W,11,0,,57-59,2,10.0,McKenzie,Hutchison,,2:51,D,25684,0.21,+,
,117,Monday Aug 16,boxscore,CLE,@,MIN,L-wo,4,5,10,57-60,2,11.0,Thielbar,Wittgren,,3:43,N,15622,0.27,-,
,118,Tuesday Aug 17,boxscore,CLE,@,MIN,W,3,1,,58-60,2,11.0,Morgan,Ober,Clase,3:01,N,19605,0.20,+,
,119,Wednesday Aug 18,boxscore,CLE,@,MIN,L-wo,7,8,11,58-61,2,12.0,Coulombe,Garza,,4:16,D,19949,0.21,-,
,120,Friday Aug 20,boxscore,CLE,,LAA,W,9,1,,59-61,2,11.5,Stephan,Barria,,3:02,N,22755,0.14,+,
,121,Saturday Aug 21,boxscore,CLE,,LAA,W,5,1,,60-61,2,10.5,McKenzie,Detmers,,2:50,D,31406,0.15,++,
,122,Sunday Aug 22,boxscore,CLE,,LAA,W,3,0,,61-61,2,9.5,Quantrill,Suarez,Clase,2:47,N,1832,0.21,+++,
,123,Tuesday Aug 24,boxscore,CLE,,TEX,L,3,7,,61-62,2,10.0,Hearn,Morgan,,3:14,N,11369,0.37,-,
,124,Wednesday Aug 25,boxscore,CLE,,TEX,W,7,2,,62-62,2,9.0,Plesac,Latz,,2:56,N,11398,0.19,+,
,125,Thursday Aug 26,boxscore,CLE,,TEX,W,10,6,,63-62,2,9.0,Stephan,Lyles,,3:12,N,10827,0.28,++,
,126,Friday Aug 27,boxscore,CLE,,BOS,L,3,4,,63-63,2,10.0,Rodriguez,Karinchak,Ottavino,2:58,N,20881,0.31,-,
,127,Saturday Aug 28,boxscore,CLE,,BOS,L,3,5,10,63-64,2,10.0,Whitlock,Wittgren,Ottavino,3:59,D,26221,0.20,--,
,128,Sunday Aug 29,boxscore,CLE,,BOS,W,7,5,,64-64,2,10.0,Shaw,Davis,Clase,3:22,D,22883,0.16,+,
,129,Tuesday Aug 31,boxscore,CLE,@,KCR,W,7,2,,65-64,2,10.0,Plesac,Junis,,2:54,N,11542,0.16,++,
,130,Wednesday Sep 1,boxscore,CLE,@,KCR,W,5,3,11,66-64,2,10.0,Parker,Santana,Stephan,3:36,N,10516,0.17,+++,
,131,Thursday Sep 2,boxscore,CLE,@,KCR,W,4,2,,67-64,2,9.5,McKenzie,Minor,Clase,2:56,N,10042,0.17,++++,
,132,Friday Sep 3,boxscore,CLE,@,BOS,L,5,8,,67-65,2,9.5,Ottavino,Quantrill,Whitlock,3:09,N,31127,0.23,-,
,133,Saturday Sep 4,boxscore,CLE,@,BOS,L-wo,3,4,,67-66,2,10.5,Ottavino,Shaw,,3:09,D,33081,0.20,--,
,134,Sunday Sep 5,boxscore,CLE,@,BOS,W,11,5,,68-66,2,9.5,Plesac,Crawford,Clase,3:59,D,27578,0.10,+,
,135,Monday Sep 6,boxscore,CLE,,MIN,L,2,5,,68-67,2,10.0,Pineda,Allen,Colomé,2:52,N,12675,0.16,-,
,136,Tuesday Sep 7,boxscore,CLE,,MIN,L,0,3,,68-68,2,11.0,Gant,Civale,Colomé,3:39,N,10448,0.11,--,
,137,Wednesday Sep 8,boxscore,CLE,,MIN,L,0,3,,68-69,2,11.0,Ryan,McKenzie,Duffey,2:23,N,11037,0.06,---,
,138,Thursday Sep 9,boxscore,CLE,,MIN,W,4,1,,69-69,2,10.0,Quantrill,Albers,Clase,2:46,N,11846,0.03,+,
,139,Friday Sep 10,boxscore,CLE,,MIL,L,3,10,,69-70,2,11.0,Houser,Morgan,,3:24,N,17667,0.06,-,
,140,Saturday Sep 11,boxscore,CLE,,MIL,L,0,3,,69-71,2,11.0,Burnes,Plesac,Hader,2:39,N,20100,0.02,--,
,141,Sunday Sep 12,boxscore,CLE,,MIL,L,1,11,,69-72,2,12.0,Lauer,Civale,Ashby,2:59,D,16332,0.01,---,
,142,Tuesday Sep 14 (1),boxscore,CLE,@,MIN,W,3,1,7,70-72,2,12.5,McKenzie,Coulombe,Clase,2:06,D,15319,0.01,+,
,143,Tuesday Sep 14 (2),boxscore,CLE,@,MIN,L,3,6,7,70-73,2,12.5,Barraclough,Allen,Colomé,2:17,N,18905,0.01,-,
,144,Wednesday Sep 15,boxscore,CLE,@,MIN,W,12,3,,71-73,2,11.5,Quantrill,Jax,,2:49,N,14222,0.00,+,
,145,Friday Sep 17,boxscore,CLE,@,NYY,L,0,8,,71-74,2,12.0,Kluber,Plesac,,2:50,N,31403,0.00,-,
,146,Saturday Sep 18,boxscore,CLE,@,NYY,W,11,3,,72-74,2,11.0,Civale,Gil,,3:26,D,39088,0.00,+,
,147,Sunday Sep 19,boxscore,CLE,@,NYY,W,11,1,,73-74,2,11.0,Morgan,Cole,,3:25,D,34110,0.01,++,
,148,Monday Sep 20 (1),boxscore,CLE,,KCR,L,2,7,7,73-75,2,11.5,Singer,McKenzie,,2:08,D,,0.01,-,
,149,Monday Sep 20 (2),boxscore,CLE,,KCR,L,2,4,7,73-76,2,11.5,Tapia,Wittgren,Barlow,2:37,N,11459,0.00,--,
,150,Tuesday Sep 21,boxscore,CLE,,KCR,W,4,1,,74-76,2,10.5,Quantrill,Lynch,Clase,2:35,N,23341,0.00,+,
,151,Thursday Sep 23 (1),boxscore,CLE,,CHW,L,2,7,7,74-77,2,10.5,Bummer,Civale,,2:46,D,11851,0.00,-,
,152,Thursday Sep 23 (2),boxscore,CLE,,CHW,W-wo,5,3,7,75-77,2,10.5,Clase,Ruiz,,2:34,N,11336,0.00,+,
,153,Friday Sep 24,boxscore,CLE,,CHW,L,0,1,,75-78,2,11.5,Cease,Stephan,Hendriks,2:48,N,18576,0.00,-,
,154,Saturday Sep 25,boxscore,CLE,,CHW,W,6,0,,76-78,2,10.5,Morgan,Lynn,,2:40,N,24082,0.00,+,
,155,Sunday Sep 26,boxscore,CLE,,CHW,L,2,5,,76-79,2,11.5,Giolito,McKenzie,Hendriks,3:38,D,21957,0.00,-,
,156,Monday Sep 27,boxscore,CLE,,KCR,W,8,3,,77-79,2,11.5,Quantrill,Kowar,,2:44,D,13121,0.00,+,
,157,Tuesday Sep 28,boxscore,CLE,@,KCR,L,4,6,,77-80,2,12.5,Staumont,Parker,,3:24,N,11670,0.00,-,
,158,Wednesday Sep 29,boxscore,CLE,@,KCR,L,5,10,,77-81,2,13.5,Holland,Wittgren,,3:16,N,10373,0.00,--,
,159,Thursday Sep 30,boxscore,CLE,@,KCR,W,6,1,,78-81,2,13.0,Allen,Zerpa,,3:04,N,11288,0.00,+,
,160,Friday Oct 1,boxscore,CLE,@,TEX,W,9,6,,79-81,2,13.0,Morgan,Howard,,3:06,N,22700,0.00,++,
,161,Saturday Oct 2,boxscore,CLE,@,TEX,L,2,7,,79-82,2,14.0,Lyles,McKenzie,,2:50,N,27362,0.00,-,
,162,Sunday Oct 3,boxscore,CLE,@,TEX,W,6,0,,80-82,2,13.0,Civale,Dunning,,2:54,D,28396,0.00,+,
