,,,,,,,,,,,,,,,,,,,,,,
,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
,1,Thursday Apr 1,boxscore,CLE,@,DET,L,2,3,,0-1,3,1.0,Boyd,Bieber,Soto,3:03,D,8000,1.08,-,
,2,Saturday Apr 3,boxscore,CLE,@,DET,L,2,5,,0-2,5,2.0,Teheran,Plesac,Garcia,3:17,D,8000,1.03,--,
,3,Sunday Apr 4,boxscore,CLE,@,DET,W,9,3,,1-2,4,1.0,Civale,Norris,,2:38,D,8000,0.96,+,
,4,Monday Apr 5,boxscore,CLE,,KCR,L,0,3,,1-3,5,2.0,Duffy,Allen,Hahn,2:52,D,8914,1.03,-,
,5,Wednesday Apr 7,boxscore,CLE,,KCR,W,4,2,,2-3,4,1.5,Clase,Holland,Wittgren,2:53,D,5908,0.93,+,
,6,Friday Apr 9,boxscore,CLE,,DET,W,4,1,,3-3,2,1.5,Plesac,Holland,Clase,2:40,N,7775,1.01,++,
,7,Saturday Apr 10,boxscore,CLE,,DET,W,11,3,,4-3,2,0.5,Civale,Skubal,,2:53,N,7570,1.06,+++,
,8,Sunday Apr 11,boxscore,CLE,,DET,W,5,2,,5-3,1,up 0.5,Allen,Ureña,Clase,3:04,D,6859,1.10,++++,
,9,Monday Apr 12,boxscore,CLE,@,CHW,L-wo,3,4,,5-4,1,Tied,Heuer,Clase,,3:05,N,7393,1.19,-,
,10,Tuesday Apr 13,boxscore,CLE,@,CHW,W,2,0,10,6-4,1,up 0.5,Bieber,Crochet,Karinchak,3:02,N,7102,1.17,+,
,11,Wednesday Apr 14,boxscore,CLE,@,CHW,L,0,8,,6-5,2,0.5,Rodón,Plesac,,2:40,N,7148,1.20,-,
,12,Thursday Apr 15,boxscore,CLE,@,CHW,W,4,2,,7-5,2,0.5,Civale,Lynn,Clase,3:17,D,7049,1.21,+,
,13,Friday Apr 16,boxscore,CLE,@,CIN,L,3,10,,7-6,2,1.0,Hoffman,Allen,,3:11,N,12497,1.08,-,
,14,Saturday Apr 17,boxscore,CLE,@,CIN,L-wo,2,3,10,7-7,2,1.5,Doolittle,Pérez,,3:25,D,12598,1.00,--,
,15,Sunday Apr 18,boxscore,CLE,@,CIN,W,6,3,,8-7,2,1.5,Bieber,Miley,Clase,2:42,D,12551,0.95,+,
,16,Tuesday Apr 20,boxscore,CLE,,CHW,L,5,8,,8-8,2,1.0,Rodón,Plesac,Hendriks,3:39,N,4176,1.19,-,
,17,Thursday Apr 22,boxscore,CLE,,NYY,L,3,6,,8-9,3,2.0,Germán,Wittgren,Chapman,3:31,N,6380,1.01,--,
,18,Friday Apr 23,boxscore,CLE,,NYY,L,3,5,,8-10,3,3.0,Luetge,Allen,Chapman,3:17,N,8662,0.99,---,
,19,Saturday Apr 24,boxscore,CLE,,NYY,L,1,2,,8-11,3,4.0,Cole,Bieber,Loáisiga,3:05,N,8817,0.92,----,
,20,Sunday Apr 25,boxscore,CLE,,NYY,W,7,3,,9-11,3,4.0,Hentges,Taillon,,3:07,D,8766,0.87,+,
,21,Monday Apr 26,boxscore,CLE,,MIN,W-wo,5,3,10,10-11,3,4.0,Clase,Colomé,,3:10,N,4555,0.95,++,
,22,Tuesday Apr 27,boxscore,CLE,,MIN,W,7,4,,11-11,3,3.0,Civale,Maeda,Karinchak,3:07,N,6303,1.04,+++,
,23,Wednesday Apr 28,boxscore,CLE,,MIN,L,2,10,,11-12,3,4.0,Happ,Allen,,3:00,D,5903,1.08,-,
,24,Friday Apr 30,boxscore,CLE,@,CHW,W,5,3,,12-12,3,3.0,Bieber,Keuchel,Clase,2:55,N,9405,1.07,+,
,25,Saturday May 1,boxscore,CLE,@,CHW,L,3,7,,12-13,3,4.0,Lynn,McKenzie,,3:02,D,9451,1.15,-,
,26,Sunday May 2,boxscore,CLE,@,CHW,W,5,0,,13-13,3,3.0,Plesac,Giolito,,3:19,D,9471,1.12,+,
,27,Monday May 3,boxscore,CLE,@,KCR,W,8,6,,14-13,3,2.0,Shaw,Junis,Clase,3:40,N,6919,1.30,++,
,28,Tuesday May 4,boxscore,CLE,@,KCR,W,7,3,,15-13,3,1.0,Wittgren,Staumont,,3:39,N,5997,1.32,+++,
,29,Wednesday May 5,boxscore,CLE,@,KCR,W,5,4,,16-13,1,Tied,Wittgren,Davis,Karinchak,3:09,N,9640,1.35,++++,
,30,Thursday May 6,boxscore,CLE,@,KCR,W,4,0,,17-13,1,up 0.5,McKenzie,Duffy,,3:10,D,9259,1.43,+++++,
